index,page_title,campus,block_release_duration,distance_learning_duration,full_time_duration,part_time_duration,block_release_international_fees,distance_learning_international_fees,full_time_international_fees,part_time_international_fees,block_release_uk_fees,distance_learning_uk_fees,full_time_uk_fees,part_time_uk_fees,block_release_url,distance_learning_url,full_time_url,part_time_url,desc_len,description,ai_description,desc_ai_len
207,Menswear with Professional Experience MFA,"Harrow, North-West London",,,2 years,,,,"£22,500",,,,"£11,700",,,,https://www.westminster.ac.uk/fashion-courses/2025-26/september/full-time/menswear-with-professional-experience-mfa,,162,This two-year pathway is designed for prospective students who are interested in developing their menswear design skills and applying them in an industry setting.," Embark on a thrilling two-year journey tailored to budding menswear designers, eager to hone their craft and translate it into real-world applications. This meticulously structured pathway promises an immersive exploration of the dynamic world of men's fashion design. Students will delve deep into various aspects of the industry, from conceptualization and pattern drafting to production and marketing strategies. The program emphasizes practical, hands-on experience, ensuring a seamless transition from academic learning to professional practice. By the end of this enriching journey, students will be well-equipped with the essential skills required to make their mark in the competitive fashion industry. So, if you're ready to design tomorrow's wardrobe today, seize this opportunity and let your menswear vision take flight!",275
208,Multimedia Journalism (Broadcast) MA,"Harrow, North-West London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/multimedia-journalism-broadcast-ma,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day-evening/multimedia-journalism-broadcast-ma,369,"This course offers a hands-on curriculum that allows you to develop core journalistic skills in broadcast and digital media. You'll learn the technical skills to master TV, audio and digital reporting. The course has a very practical focus, so you'll develop your own story ideas and gather your own material through research and reporting for journalistic course work."," This immersive educational course equips students with essential journalistic skills across broadcast and digital media platforms. With a strong emphasis on practicality, the curriculum enables learners to master TV, audio, and digital reporting techniques. Students will be encouraged to cultivate their own story ideas, engage in thorough research, and gather material for their projects, thereby nurturing their creative and investigative prowess. The course fosters a dynamic learning environment that prepares students for the ever-evolving world of journalism, combining theoretical knowledge with hands-on experience.",275
209,Multimedia Journalism (Print & Online) MA,"Harrow, North-West London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/multimedia-journalism-print-online-ma,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day-evening/multimedia-journalism-print-online-ma,143,"This course offers a hands-on curriculum that allows you to develop your core journalistic skills in print, online and social media management."," In this dynamic course, students immerse themselves in a comprehensive learning journey focused on honing their journalistic abilities across various mediums. The program emphasizes mastery of traditional print journalism, combined with modern techniques for online content creation, and strategic social media management. This well-rounded curriculum encourages hands-on application, ensuring students gain practical experience essential for thriving in today's multimedia journalism landscape. In essence, this course empowers aspiring journalists to build a versatile skillset that spans the print, digital, and social media realms.",275
210,"Museums, Galleries and Contemporary Culture MA","Regent, Central London",,,1 year,2 years,,,"£19,500","£9,140",,,"£9,700","£4,500",,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/museums-galleries-and-contemporary-culture-ma,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/museums-galleries-and-contemporary-culture-ma,432,"The Museums, Galleries and Contemporary Culture MA examines how cultural institutions are changing to meet the needs of the 21st century. The MA is for you if you're pursuing a career as a museum professional, curator, or arts organiser. It will equip you with a critical understanding of the key conceptual and practical skills in curatorship, museology and museum management necessary for you to succeed in your professional life."," This Museums, Galleries and Contemporary Culture MA focuses on the evolution of cultural institutions to adapt to the demands of the modern era. Ideal for aspiring museum professionals, curators, or arts organizers, this program equips students with a comprehensive grasp of essential conceptual and practical skills in curatorship, museology, and museum management. By successfully completing this MA, you'll be well-prepared to thrive in your professional journey within the dynamic field of cultural institutions.",275
211,"Museums, Galleries and Contemporary Culture with Professional Experience MA","Regent, Central London",,,2 years,,,,"£19,500",,,,"£9,700",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/museums-galleries-and-contemporary-culture-with-professional-experience-ma,,497,"The Museums, Galleries and Contemporary Culture with Professional Experience MA is a unique course that offers you the opportunity to undertake an extended work placement and gain professional work experience. It is partnered with the one-year course, Museums, Galleries and Contemporary Culture MA. On the two-year course, you'll do the same taught modules as on the one-year course, but you'll have the added opportunity of doing a placement lasting from three to six months in your second year."," This two-year Museums, Galleries and Contemporary Culture with Professional Experience MA combines academic study with real-world professional experience. Aligned with the one-year Museums, Galleries and Contemporary Culture MA, the extended course structure allows for a placement ranging from three to six months during the second year. The curriculum encompasses taught modules that delve into the intricacies of museums, galleries, and contemporary culture. By seamlessly blending theory with practice, this unique program offers a distinct advantage in preparing students for dynamic careers in these fields.",275
212,Music Business Management MA,"Cavendish, Central London",,,1 year,2 years,,,"£15,500","£1,785",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-business-management-ma,https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-evening-only/music-business-management-ma,508,"The Music Business Management MA is an exciting and challenging course reflecting the dynamism, creativity, and inventiveness of the global popular music sector. This course aims to develop the next generation of creative, and critically agile music professionals. Music is at the heart of everything we do, and we use it as the lens through which we critique and enhance the potential of the creative industries to produce a rich, sustainable, inclusive, and diverse environment from which all can flourish."," The Music Business Management MA course embodies the vibrancy, innovation, and ingenuity prevalent in the global popular music industry. This program is meticulously designed to nurture future leaders in the creative music sector, fostering their critical acumen alongside creativity. With music serving as the focal point, students learn to analyze and optimize the potential of the creative industries, ultimately cultivating an enriched, sustainable, inclusive, and diverse ecosystem that encourages growth for all participants.",275
213,"Music Production, Performance and Business BA Honours","Harrow, North-West London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-production-performance-and-business-ba-honours,,293,"Our Music Production, Performance and Business BA prepares you for a dynamic career across all facets of the music industry. This course not only covers the essential areas of music production, performance, and business, but also emphasises the importance of collaboration within these fields."," Embark on an immersive journey through the Music Production, Performance, and Business BA degree, designed to equip you with a versatile skill set for a thriving career in the dynamic realm of the music industry. This comprehensive course delves into the core aspects of music production, performance, and business while underscoring the significance of collaboration within these interconnected fields. By blending theory with practical application, this program empowers students to navigate the complexities of the music world confidently. From studio technique to live performance strategies and the intricacies of the business side, this degree equips you with the tools necessary to excel in a multitude of roles within this ever-evolving landscape. Whether your passion lies in creating, performing or managing music, this program offers an unparalleled opportunity to craft a fulfilling career across all facets of the music industry.",275
214,"Music Production, Performance and Business with Foundation BA Honours","Harrow, North-West London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-production-performance-and-business-with-foundation-ba-honours,,293,"Our Music Production, Performance and Business BA prepares you for a dynamic career across all facets of the music industry. This course not only covers the essential areas of music production, performance, and business, but also emphasises the importance of collaboration within these fields."," Embark on an exhilarating journey through the multifaceted world of music with our Music Production, Performance, and Business BA degree! This comprehensive program is designed to equip you with the versatile skills necessary for a successful career in the dynamic music industry. You'll delve into the core aspects of music production, performance, and business, all while fostering a deep understanding of the symbiotic nature of these disciplines. Collaboration is key, as this course emphasizes the importance of working together within these fields to achieve mutual success. Whether your passion lies in crafting beats, performing on stage, or navigating the intricacies of the music business, this degree offers a holistic approach to launching a fulfilling career in your chosen field.",275
215,Pharmaceutical Science MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,600","£1,750",,,"£10,700","£1,070",,,https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmaceutical-science-msc,https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day/pharmaceutical-science-msc,291,"The Pharmaceutical Sciences MSc is a contemporary, applied course designed to provide you with a systematic and critical understanding of key aspects at the forefront of drug design, biotherapeutics, manufacturing, quality control, formulation, drug delivery, regulation and clinical trials."," The Pharmaceutical Sciences MSc is a cutting-edge, application-focused program offering in-depth knowledge on modern drug design, biotherapeutics, manufacturing, quality control, formulation, drug delivery, and clinical trials. This comprehensive course aims to equip students with a systematic, critical understanding of these vital aspects at the pinnacle of pharmaceutical science. The curriculum is designed to prepare graduates for careers in research, industry, and regulatory bodies, fostering their ability to navigate the dynamic landscape of drug development and approval.",275
216,Pharmacology & Physiology BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmacology-physiology-bsc-honours,,290,"Pharmacology and physiology are two closely related disciplines. Pharmacology is the study of drug action and how medicines may modify disease states. Physiology is concerned with how the body and its systems are controlled, and in the changes that lead to disease states (pathophysiology)."," This educational course delves into the intricate relationship between pharmacology and physiology, two interconnected disciplines that offer profound insights into medicine and disease. Pharmacology primarily explores the mechanisms by which drugs interact with our bodies, influencing various disease conditions. On the other hand, physiology focuses on understanding the normal functioning of our body systems, as well as the transformations leading to pathological states, commonly known as pathophysiology. By bridging these two fields, students will gain a comprehensive understanding of how medicines can be strategically utilized to modify disease progression and restore balance within the body.",275
217,Pharmacology and Physiology with Foundation BSc Honours,"Cavendish, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmacology-and-physiology-with-foundation-bsc-honours,,498,"Our degree courses with foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our foundation year in order to progress onto their full honours degree with us."," At the University of Westminster, our degree courses equipped with a foundation year cater to students seeking comprehensive preparation for advanced studies. This program is designed for individuals who may lack readiness for degree-level study, lack relevant qualifications, wish to transition into a new subject specialism, or return to education after an extended absence. Our foundation year serves as a stepping stone, providing a broad educational experience that seamlessly leads students towards their desired full honours degree with us. This inclusive approach fosters academic growth and opportunities for all.",275
218,Photography BA Honours,"Harrow, North-West London",,,3 or 4 years,4 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/photography-ba-honours,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/photography-ba-honours,379,"Our Photography BA is a long-established course with an excellent international reputation for academic and practical teaching. The course builds upon the success and legacy of photography as a discipline at Westminster, whilst implementing an updated and innovative curriculum, which explores and productively engages with emerging digital technologies and commercial practices."," In this captivating paragraph, we delve into the vibrant world of our esteemed Photography BA course, renowned for its global acclaim in both academic and hands-on learning. This course is a testament to the enduring legacy of photography at Westminster, as it blends tradition with modernity through an updated, forward-thinking curriculum. The program skillfully navigates the dynamic landscape of digital technologies and commercial practices, ensuring students are equipped for success in today's competitive industry. By immersing themselves in this course, photography enthusiasts will not only hone their craft but also contribute to the continuing evolution of this captivating art form.",275
219,Photography with Foundation BA Honours,"Harrow, North-West London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/photography-with-foundation-ba-honours,,500,"Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress on to a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our Foundation year in order to progress on to their full honours degree with us."," The University of Westminster's degree courses with a Foundation year provide a preparatory pathway for advanced academic pursuit, catering to diverse student profiles. Ideal for those unprepared for degree-level study, lacking necessary qualifications, desiring subject specialism shifts, or returning to education after a hiatus, this foundation year serves as a stepping stone to a full honours degree at the university. The program's primary goal is to foster a wide array of students, facilitating their transition into their chosen full honours degree program with the university.",275
220,Policing BA Honours,"Regent, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/policing-ba-honours,,737,"Our Policing BA course is designed to equip you for a future career as a police officer or police staff. The course meets the benchmarking standards of the College of Policing, allowing you progress onto the degree holder entry programme. We’ll give you the tools to put your policing ambitions into practice using detailed case studies from crime scene investigation through to processing suspects and court prosecutions, while also uniquely considering the problems and challenges facing contemporary policing in Britain. This degree provides a pathway for students from all backgrounds to solve these issues, make a positive change to modern-day policing and serve the equally diverse communities which the police work within and for."," The Policing BA course offers an exceptional opportunity to prepare for a career as a police officer or staff member, adhering to the College of Policing's benchmarking standards for degree holder entry programs. This comprehensive program equips students with essential skills through in-depth case studies spanning crime scene investigations to court prosecutions. Uniquely, it addresses contemporary issues and challenges in British policing, empowering students from diverse backgrounds to make a significant impact on modern-day law enforcement. By studying this degree, you'll contribute positively to the evolving world of policing and serve the multicultural communities that the police protect and serve.",275
221,Politics BA Honours,"Regent, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-ba-honours,,196,"Our Politics BA equips you with an understanding of the relationship between government and society in regions all over the world, from Europe, the Middle East and Asia to North and South America."," Explore the intricate dynamics of global politics with our Bachelor's Degree in Politics! This comprehensive course delves into the complex interplay between governments and societies across continents, including Europe, the Middle East, Asia, North America, and South America. Gain a deep understanding of various political systems, their impact on regional and international relations, and how they shape societal structures worldwide. This program offers an immersive journey through political theory, comparative politics, international relations, and political behavior, empowering you with the knowledge and skills to navigate the ever-evolving political landscape effectively.",275
222,Politics and International Relations BA Honours,"Regent, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-and-international-relations-ba-honours,,158,"Our Politics and International Relations BA equips you to understand the comparative dimensions of politics at the local, regional, national and global level."," Embark on a transformative journey with our Bachelor of Arts (BA) in Politics and International Relations. This course delves into the intricacies of political landscapes on diverse scales, from local communities to international arenas. You'll explore comparative politics, gaining insights into various political systems and their impact on global relations. From regional power dynamics to national policies, you'll dissect and analyze the factors shaping today's world politics. The curriculum also encourages critical thinking, enabling you to navigate complex geopolitical issues with astute judgement. With a comprehensive education in this field, you'll be well-prepared to contribute meaningfully to the global discourse on politics and international relations.",275
223,Politics and International Relations with Foundation BA Honours,"Regent, Central London",,,4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-and-international-relations-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses equipped with a Foundation year cater to students seeking preparation for advanced studies. This preparatory year serves as a smooth transition into a full honours degree, ensuring academic readiness. These courses provide a comprehensive and supportive learning environment, fostering students' growth towards academic success. The curriculum is designed to enrich students' knowledge base, sharpen skills, and prepare them for the rigors of higher education. This unique offering at the University of Westminster offers an inclusive pathway for those seeking to expand their intellectual horizons while preparing for a successful university career.",275
224,Politics with Foundation BA Honours,"Regent, Central London",,,4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses featuring a Foundation year provide an exceptional pathway for students seeking a solid grounding before advancing into a full honours degree program. This preparatory phase ensures that students are well-equipped to tackle more complex academic challenges, ultimately smoothening their transition into higher education. The Foundation year, embedded within the University's diverse course offerings, caters to various disciplines, allowing students flexibility in choosing their area of interest for further study. This unique approach fosters a supportive learning environment, equipping students with essential skills and knowledge needed for academic success at Westminster.",275
225,Professional Legal Practice Postgraduate Diploma,"Regent, Central London",,,1 year,2 years,,,"£13,000","£6,500",,,"£12,700","£6,350",,,https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/professional-legal-practice-postgraduate-diploma,https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/professional-legal-practice-postgraduate-diploma,417,"The Professional Legal Practice Postgraduate Diploma is designed as a conversion course for non-law graduates who are seeking to transition to a career in law. You’ll learn both the law and its practical application to realistic client-based and ethical problems and situations. The course will provide you with a solid foundation to qualify either as a solicitor or a barrister, whichever profession you decide upon."," This Professional Legal Practice Postgraduate Diploma is tailored for non-law graduates aspiring to enter the legal field. It offers a comprehensive education that combines the study of law with its practical application to real-world client scenarios and ethical dilemmas. The program provides a robust foundation, enabling students to pursue careers as either solicitors or barristers, depending on their chosen profession. This conversion course equips learners with essential legal knowledge and skills, ensuring they are well-prepared for the challenges of a legal career.",275
226,Professional Writing MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£9,700","£4,850",,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/professional-writing-ma,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/professional-writing-ma,533,"The Professional Writing MA is designed for those who want to turn their love of words and writing into a dynamic and fulfilling career. It will give you the skills, motivation, networks and connections to work across a wide variety of industries – in publishing, journalism, public relations, advertising, as literary agents, copywriters and copyeditors. It will also allow you to explore the history and future of writing and the writing industries from a variety of perspectives, and to develop your own interests and specialisms."," The Professional Writing MA offers a path for individuals passionate about words and writing to launch rewarding careers in diverse fields such as publishing, journalism, PR, advertising, literary agency, copywriting, and editing. This program equips students with essential skills, fosters motivation, and establishes valuable networks and connections. It delves into the evolution and future of writing industries while empowering students to cultivate their unique interests and specializations.",275
227,Professional Writing with Extended Work Placement MA,"Regent, Central London",,,2 years,,,,"£17,500",,,,"£9,700",,,,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/professional-writing-with-extended-work-placement-ma,,562,"The Professional Writing with Extended Work Placement MA is designed for those who want to turn their love of words and writing into a dynamic and fulfilling career. It will give you the skills, motivation, networks and connections to work across a wide variety of industries – in publishing, journalism, public relations, advertising, as literary agents, copywriters and copyeditors. It will also allow you to explore the history and future of writing and the writing industries from a variety of perspectives, and to develop your own interests and specialisms."," This Professional Writing with Extended Work Placement MA is tailored for those passionate about words and writing, aiming to transform that passion into a rewarding career. Spanning diverse sectors like publishing, journalism, PR, advertising, literary agency, copywriting, and editing, this course equips students with essential skills and connections. It delves into the past, present, and future of writing industries from multiple angles, empowering students to identify their unique interests and niche areas. A defining feature is the integrated work placement, offering real-world experience that enhances career prospects. In essence, this course offers a comprehensive, industry-focused path for turning love into a lucrative writing career.",275
228,Project Management MSc,"Marylebone, Central London",,,1 year,,,,"£19,500",,,,"£16,700",,,,https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/project-management-msc,,426,"Project management, as a profession, has undergone rapid transformation in the last 20 years. The ever-growing consumer demand for complex, customised goods and services and the evolution of worldwide competitive markets for their production and distribution have increased the need for agile project managers who understand organisational issues, human behaviour and have the skills to organise the delivery of such products."," ""In the dynamic landscape of project management, a transformative educational course emerges, tailored for the modern agile leader. The course is designed to navigate the rapid evolution of consumer demand for intricate, customised goods and services in today's competitive global marketplace. It equips students with an understanding of organisational challenges, human behaviour, and practical skills necessary for seamless project delivery. This course empowers professionals to thrive in this fast-paced environment, bridging the gap between agile project management and contemporary business needs.""",275
229,Psychology BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-bsc-honours,,166,"Our course will provide you with an exciting and unique learning experience, delivered by active researchers who are passionate and knowledgeable about their subject."," Embark on a stimulating educational journey, immersed in cutting-edge research and guided by enthusiastic scholars who are experts in their respective fields. This engaging course offers a rare opportunity to learn from active researchers, ensuring you gain insights directly from the source. The curriculum is designed to challenge and inspire, catering to those eager to expand their knowledge in a dynamic, interactive environment. Whether you're seeking to deepen your understanding or kickstart a career in research, this course promises an enriching experience, fostering intellectual growth and fostering curiosity. Don't miss the chance to learn from the best, as you explore real-world applications of groundbreaking research.",275
230,Psychology MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£10,700","£5,350",,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-msc,https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/psychology-msc,247,"The Psychology MSc is a conversion course accredited by the British Psychological Society (BPS), designed for graduates who wish to pursue a career in psychology but who need to acquire the Graduate Basis for Chartered Membership (GBC) of the BPS."," This Psychology MSc program, endorsed by the British Psychological Society (BPS), caters specifically to graduates aspiring to delve into psychology careers while missing the essential Graduate Basis for Chartered Membership (GBC). The comprehensive course equips students with a solid foundation in psychology, enabling them to progress towards becoming chartered members. By enrolling in this conversion course, students will gain valuable insights into various psychological theories and practices, ultimately propelling their careers forward within the dynamic field of psychology.",275
231,Psychology and Counselling BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-and-counselling-bsc-honours,,255,"Our Psychology and Counselling BSc Honours is accredited by the British Psychological Society. It provides you with a broad contemporary education in psychology and counselling within a vibrant, global learning environment situated in the heart of London."," The Psychology and Counselling BSc Honours, accredited by the British Psychological Society, offers an advanced education in both psychology and counselling within a dynamic, cosmopolitan setting in London. This program delivers a contemporary understanding of these disciplines, fostering a rich learning experience that prepares students for diverse roles in the field. Whether you're drawn to the scientific study of human behavior or the therapeutic application of psychological principles, this course equips you with comprehensive knowledge and skills. From exploring the intricacies of the human mind to understanding counselling methodologies, you'll be immersed in a global learning environment that fosters critical thinking, empathy, and professional growth. The program's London location provides unique opportunities for cultural exchange, networking, and real-world application of learned concepts, ensuring your journey into psychology and counselling is both enlightening and rewarding.",275
232,Psychology and Counselling with Foundation BSc Honours,"Cavendish, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-and-counselling-with-foundation-bsc-honours,,498,"Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our Foundation year in order to progress onto their full honours degree with us."," The University of Westminster provides degree courses featuring a Foundation year, designed for those not fully prepared for advanced studies or lacking relevant qualifications. This pathway also caters to individuals seeking to switch academic fields or resume education after a hiatus. By successfully completing the Foundation year, students gain entry into their desired full honours degree program at Westminster, ensuring a broad and inclusive environment that promotes educational progression for all.",275
233,Psychology and Criminology BSc Honours,"Regent, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/criminology-and-sociology-psychology-courses/2025-26/september/full-time/psychology-and-criminology-bsc-honours,,147,"Psychology is the study of the human mind and our behaviour, while criminology is all about the causes of crime and ways to prevent and control it."," In this compelling course, delve into the intriguing realms of both psychology and criminology, two fields that intertwine in a fascinating dance of understanding human behavior. Explore the depths of the human mind, its functions, and its complexities through psychology, while also unraveling the mysteries surrounding crime, its origins, and potential solutions, via criminology. Gain insight into the factors driving criminal actions, as well as effective strategies for crime prevention and control. This captivating course promises to broaden your perspective on human behavior, equipping you with valuable knowledge that could be instrumental in various professional settings.",275
234,Psychology with Foundation BSc Honours,"Cavendish, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-with-foundation-bsc-honours,,498,"Our degree courses with foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster. Whether you do not feel ready for degree-level study, don’t have the right qualifications, want to change your subject specialism or return to study after an absence from education, we aim to encourage a broad range of students to undertake our foundation year in order to progress onto their full honours degree with us."," The University of Westminster's degree courses with foundation years provide a unique opportunity for individuals seeking advanced academic challenges. This program is tailored for those who may not feel ready for traditional degree-level study, lack specific qualifications, wish to switch subject specializations, or have taken an educational hiatus. By successfully completing the foundation year, students can seamlessly transition into their full honours degree at Westminster, broadening accessibility to higher education. This inclusive approach invites a diverse range of aspirants to embark on their academic journey with confidence and purpose.",275
235,Public Health BSc Honours,"Cavendish, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/public-health-bsc-honours,,536,"Public health is the science that aims to improve populations' health by designing and taking measures to prevent disease and protect and promote health and wellbeing. The Covid-19 pandemic and climate change have led to the importance of public health receiving greater recognition. Our new Public Health BSc equips you with a range of practical skills and knowledge which could be applied to a range of careers, particularly those in public health, aiming to improve and protect the health of individuals, communities and populations."," Embark on an enlightening journey with our new Bachelor of Science (BSc) in Public Health! As global challenges like Covid-19 and climate change underscore the significance of public health, this course equips you with essential practical skills and knowledge. The program is tailored to prepare you for careers in public health, enabling you to enhance and safeguard the health of diverse individuals, communities, and populations. By focusing on disease prevention, health protection, and promotion of wellbeing, our BSc in Public Health provides a comprehensive understanding of this vital science, positioning you at the forefront of population health improvement efforts.",275
236,Public Relations MA,"Harrow, North-West London",,,1 year,2 years,,,"£17,500","£1,985",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/public-relations-ma,https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/public-relations-ma,117,"This course is designed to produce public relations leaders who are creative, resourceful and technically proficient."," In this innovative educational course, aspiring PR leaders are meticulously cultivated. The curriculum focuses on nurturing creatively-minded professionals with a keen eye for resourcefulness and technical savvy. Through comprehensive modules, students learn the intricacies of public relations, mastering strategic communication techniques alongside cutting-edge technology. The program emphasizes hands-on experience, ensuring practical application of skills in real-world scenarios. Students will graduate as versatile PR leaders, equipped to navigate complex situations with grace and effectiveness. This course prepares future professionals for the ever-evolving landscape of public relations, fostering a new generation of thought leaders ready to excel in their respective fields.",275
237,Quantity Surveying and Commercial Management BSc Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/quantity-surveying-and-commercial-management-bsc-honours,,441,"The growth in global construction is fuelling the demand for professional quantity surveyors and construction commercial managers who can take a holistic view of construction projects – overseeing costs, contractual and procurement matters – from inception to completion. Our project-based approach to learning exposes you to live and past construction projects from the outset, preparing you to accurately predict and control project costs."," This educational course focuses on the burgeoning field of quantity surveying and construction commercial management, crucial roles in the booming global construction industry. Students will develop a comprehensive understanding of overseeing costs, contracts, and procurement throughout the entire lifecycle of projects. The unique project-based learning model immerses learners into real and past construction projects from the get-go, equipping them with valuable skills to forecast and manage project expenses effectively. By graduating from this program, individuals will be well-prepared to excel in these dynamic roles that bridge the gap between theoretical knowledge and practical applications in the construction sector.",275
238,Quantity Surveying and Commercial Management with Foundation BSc Honours,"Marylebone, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/quantity-surveying-and-commercial-management-with-foundation-bsc-honours,,177,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress on to a full honours degree at the University of Westminster.," The University of Westminster's degree courses, featuring a Foundation year, provide a unique platform for aspiring students. This preparatory year readies individuals for rigorous higher-level studies by providing a smooth transition into an undergraduate full honours degree. By offering this opportunity, the university empowers students who might lack traditional qualifications or need additional academic preparation, ensuring they can thrive in their chosen fields of study. This innovative approach combines academic readiness with a fulfilling university experience, fostering success for all students at the University of Westminster.",275
