conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Museums, Galleries and Contemporary Culture with Professional Experience MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Museums, Galleries and Contemporary Culture with Professional Experience MA:\nCourse title: Museums, Galleries and Contemporary Culture with Professional Experience MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £19,500.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/museums-galleries-and-contemporary-culture-with-professional-experience-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Music Business Management MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Music Business Management MA:\nCourse title: Music Business Management MA.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-business-management-ma\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-evening-only/music-business-management-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Music Production, Performance and Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Music Production, Performance and Business BA Honours:\nCourse title: Music Production, Performance and Business BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-production-performance-and-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Music Production, Performance and Business with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Music Production, Performance and Business with Foundation BA Honours:\nCourse title: Music Production, Performance and Business with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/music-production-performance-and-business-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Pharmaceutical Science MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Pharmaceutical Science MSc:\nCourse title: Pharmaceutical Science MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,600.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmaceutical-science-msc\nFor Part-time course:\nUK fees: £1,070.\ninternational fees: £1,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day/pharmaceutical-science-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Pharmacology & Physiology BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Pharmacology & Physiology BSc Honours:\nCourse title: Pharmacology & Physiology BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmacology-physiology-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Pharmacology and Physiology with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Pharmacology and Physiology with Foundation BSc Honours:\nCourse title: Pharmacology and Physiology with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/pharmacology-and-physiology-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Photography BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Photography BA Honours:\nCourse title: Photography BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/photography-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/photography-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Photography with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Photography with Foundation BA Honours:\nCourse title: Photography with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/photography-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Policing BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Policing BA Honours:\nCourse title: Policing BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/policing-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Politics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Politics BA Honours:\nCourse title: Politics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Politics and International Relations BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Politics and International Relations BA Honours:\nCourse title: Politics and International Relations BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-and-international-relations-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Politics and International Relations with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Politics and International Relations with Foundation BA Honours:\nCourse title: Politics and International Relations with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-and-international-relations-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Politics with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Politics with Foundation BA Honours:\nCourse title: Politics with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/politics-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Professional Legal Practice Postgraduate Diploma?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Professional Legal Practice Postgraduate Diploma:\nCourse title: Professional Legal Practice Postgraduate Diploma.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £13,000.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/professional-legal-practice-postgraduate-diploma\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £6,500.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/professional-legal-practice-postgraduate-diploma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Professional Writing MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Professional Writing MA:\nCourse title: Professional Writing MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/professional-writing-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/professional-writing-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Professional Writing with Extended Work Placement MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Professional Writing with Extended Work Placement MA:\nCourse title: Professional Writing with Extended Work Placement MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/professional-writing-with-extended-work-placement-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Project Management MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Project Management MSc:\nCourse title: Project Management MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£16,700.\ninternational fees: £19,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/project-management-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology BSc Honours:\nCourse title: Psychology BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology MSc:\nCourse title: Psychology MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-msc\nFor Part-time course:\nUK fees: £5,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/psychology-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology and Counselling BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology and Counselling BSc Honours:\nCourse title: Psychology and Counselling BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-and-counselling-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology and Counselling with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology and Counselling with Foundation BSc Honours:\nCourse title: Psychology and Counselling with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-and-counselling-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology and Criminology BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology and Criminology BSc Honours:\nCourse title: Psychology and Criminology BSc Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-psychology-courses/2025-26/september/full-time/psychology-and-criminology-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Psychology with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Psychology with Foundation BSc Honours:\nCourse title: Psychology with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/psychology-courses/2025-26/september/full-time/psychology-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Public Health BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Public Health BSc Honours:\nCourse title: Public Health BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/full-time/public-health-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Public Relations MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Public Relations MA:\nCourse title: Public Relations MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/public-relations-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/public-relations-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Quantity Surveying and Commercial Management BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Quantity Surveying and Commercial Management BSc Honours:\nCourse title: Quantity Surveying and Commercial Management BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/quantity-surveying-and-commercial-management-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Quantity Surveying and Commercial Management with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Quantity Surveying and Commercial Management with Foundation BSc Honours:\nCourse title: Quantity Surveying and Commercial Management with Foundation BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/quantity-surveying-and-commercial-management-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Real Estate BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Real Estate BSc Honours:\nCourse title: Real Estate BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/real-estate-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Real Estate Development MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Real Estate Development MSc:\nCourse title: Real Estate Development MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£14,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/real-estate-development-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Real Estate with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Real Estate with Foundation BSc Honours:\nCourse title: Real Estate with Foundation BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/real-estate-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Social Media and Digital Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Social Media and Digital Communication MA:\nCourse title: Social Media and Digital Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/social-media-and-digital-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/social-media-and-digital-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Sociology BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Sociology BA Honours:\nCourse title: Sociology BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/sociology-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/sociology-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Sociology and Criminology BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Sociology and Criminology BA Honours:\nCourse title: Sociology and Criminology BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/sociology-and-criminology-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/sociology-and-criminology-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Sociology with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Sociology with Foundation BA Honours:\nCourse title: Sociology with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/sociology-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Software Engineering (Conversion) MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Software Engineering (Conversion) MSc:\nCourse title: Software Engineering (Conversion) MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/software-engineering-conversion-msc\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/part-time-day/software-engineering-conversion-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Software Engineering BEng Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Software Engineering BEng Honours:\nCourse title: Software Engineering BEng Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/software-engineering-beng-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Software Engineering with Electronics BEng Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Software Engineering with Electronics BEng Honours:\nCourse title: Software Engineering with Electronics BEng Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/software-engineering-with-electronics-beng-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Software Engineering with Electronics with Foundation BEng Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Software Engineering with Electronics with Foundation BEng Honours:\nCourse title: Software Engineering with Electronics with Foundation BEng Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/software-engineering-with-electronics-with-foundation-beng-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Software Engineering with Foundation BEng Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Software Engineering with Foundation BEng Honours:\nCourse title: Software Engineering with Foundation BEng Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/software-engineering-with-foundation-beng-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and English BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and English BA Honours:\nCourse title: Spanish and English BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/spanish-and-english-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/spanish-and-english-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and International Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and International Business BA Honours:\nCourse title: Spanish and International Business BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-languages-courses/2025-26/september/full-time/spanish-and-international-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and International Communication BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and International Communication BA Honours:\nCourse title: Spanish and International Communication BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/spanish-and-international-communication-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and International Communication with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and International Communication with Foundation BA Honours:\nCourse title: Spanish and International Communication with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/spanish-and-international-communication-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and International Relations BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and International Relations BA Honours:\nCourse title: Spanish and International Relations BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/spanish-and-international-relations-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/spanish-and-international-relations-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Spanish and Linguistics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Spanish and Linguistics BA Honours:\nCourse title: Spanish and Linguistics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/spanish-and-linguistics-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/spanish-and-linguistics-ba-honours ', 'role': 'assistant'}]"
